"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102776","Verify the grid customization functionality after the filters applied.""On Order"" Tab for Profile Subaru","chromium","Fri Aug 08 17:37:37 IST 2025","broken","Fri Aug 08 17:39:20 IST 2025","","Retailer: Profile Subaru","",""
"","42905","Verify the Exported file with all formats when filters and sort were applied..""In Transit"" Tab for Secor Subaru","chromium","Fri Aug 08 17:20:51 IST 2025","failed","Fri Aug 08 17:21:34 IST 2025","","Retailer: Secor Subaru","",""
"","25526","Verify Pagination Control in ""Buy a Demo"" Tab for Burlington Subaru","chromium","Fri Aug 08 14:03:09 IST 2025","failed","Fri Aug 08 14:03:35 IST 2025","","Retailer: Burlington Subaru","",""
"","52320","Verify VIN Key popup ""On Order"" Tab for Beard Subaru","chromium","Fri Aug 08 18:52:35 IST 2025","failed","Fri Aug 08 18:53:28 IST 2025","","Retailer: Beard Subaru","",""
"","53156","Verify  the breadcrumb in ""Total Vehicles"" Tab for Profile Subaru","chromium","Fri Aug 08 14:16:33 IST 2025","passed","Fri Aug 08 14:17:26 IST 2025","","Retailer: Profile Subaru","",""
"","44751","Verify VIN Key popup ""Buy a Demo"" Tab for Subaru of New England Inc","chromium","Fri Aug 08 18:47:17 IST 2025","passed","Fri Aug 08 18:48:01 IST 2025","","Retailer: Subaru of New England Inc","",""
"","30173","Verify that the grid has the vehicles only with vehicle status as ""On Lot"" ""On Lot"" Tab for Subaru of Wakefield","chromium","Fri Aug 08 15:49:40 IST 2025","failed","Fri Aug 08 15:50:11 IST 2025","","Retailer: Subaru of Wakefield","",""
"","100506","Verify Sort functionality after Filters applied.""Total Vehicles"" Tab for Patrick Subaru","chromium","Fri Aug 08 17:02:06 IST 2025","broken","Fri Aug 08 17:03:46 IST 2025","","Retailer: Patrick Subaru","",""
"","35287","Verify that the ""Search the grid"" function displays results even when filters are applied ""Buy a Demo"" Tab for Burlington Subaru","chromium","Fri Aug 08 16:33:20 IST 2025","failed","Fri Aug 08 16:33:55 IST 2025","","Retailer: Burlington Subaru","",""
"","49523","Verify Sorting Functionality in ""Total Vehicles"" Tab for Mitchell Subaru","chromium","Fri Aug 08 14:07:57 IST 2025","failed","Fri Aug 08 14:08:47 IST 2025","","Retailer: Mitchell Subaru","",""
"","45686","Verify the UI when large stock / Comment is added ""In Transit"" Tab for Subaru of New England Inc","chromium","Fri Aug 08 15:37:49 IST 2025","failed","Fri Aug 08 15:38:34 IST 2025","","Retailer: Subaru of New England Inc","",""
"","48580","Verify the grid headers displayed. ""In Transit"" Tab for Subaru of New England Inc","chromium","Fri Aug 08 16:01:34 IST 2025","failed","Fri Aug 08 16:02:22 IST 2025","","Retailer: Subaru of New England Inc","",""
"","42907","Verify Pagination Control in ""Mark as SSLP"" Tab for Center Subaru","chromium","Fri Aug 08 14:03:07 IST 2025","failed","Fri Aug 08 14:03:50 IST 2025","","Retailer: Center Subaru","",""
"","54215","Validate Mark SSLP for Patrick Subaru","chromium","Fri Aug 08 14:00:08 IST 2025","failed","Fri Aug 08 14:01:03 IST 2025","","Retailer: Patrick Subaru","",""
"","106384","Verify the mark sold functionality in ""In Transit"" Tab for Center Subaru","chromium","Fri Aug 08 15:19:36 IST 2025","broken","Fri Aug 08 15:21:22 IST 2025","","Retailer: Center Subaru","",""
"","49073","Verify that the trim options displayed are relevant to the selected car model ""Mark as SSLP"" Tab for Secor Subaru","chromium","Fri Aug 08 15:35:35 IST 2025","passed","Fri Aug 08 15:36:24 IST 2025","","Retailer: Secor Subaru","",""
"","28978","Verify Sort functionality after Filters applied.""On Order"" Tab for Subaru of Wakefield","chromium","Fri Aug 08 16:59:20 IST 2025","failed","Fri Aug 08 16:59:49 IST 2025","","Retailer: Subaru of Wakefield","",""
"","56274","Verify the sort applied Is removed when the grid is refreshed by changing / adding the filter.""On Order"" Tab for Subaru of New England Inc","chromium","Fri Aug 08 16:47:47 IST 2025","passed","Fri Aug 08 16:48:44 IST 2025","","Retailer: Subaru of New England Inc","",""
"","58105","Verify the ""Filters"" text is changed to ""Clear Filters"" with applied filters count when filters are applied.""On Lot"" Tab for Profile Subaru","chromium","Fri Aug 08 16:08:21 IST 2025","passed","Fri Aug 08 16:09:19 IST 2025","","Retailer: Profile Subaru","",""
"","44945","Verify the Search Box functionality in ""Total Vehicles"" Tab for Secor Subaru","chromium","Fri Aug 08 14:49:24 IST 2025","passed","Fri Aug 08 14:50:09 IST 2025","","Retailer: Secor Subaru","",""
